sumber,minat,bakat,nilai_akademik,kepribadian,label_karir
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Realistic,Motorik/Praktikal,75.92,Dominance,Teknisi Jaringan & IT Support
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Investigative,Numerik/Logika,88.86,Compliance,Administrator Sistem (Sysadmin)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,78.72,Influence,Drafter (Juru Gambar Bangunan)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Numerik/Logika,85.09,Steadiness,Estimator Biaya Bangunan
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Realistic,Spasial/Visual,85.17,Influence,Desainer Mebel (Furniture Designer)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,71.66,Steadiness,Pengrajin Kayu Kreatif
Data Alumni K3R SMKN 1 Hiliran Gumanti (2023),Artistic,Verbal,76.84,Dominance,Wirausahawan (Entrepreneur)
Data Alumni K3R SMKN 1 Hiliran Gumanti (2024),Social,Verbal,89.30,Steadiness,Staf Administrasi & Keuangan
Data Alumni K3R SMKN 1 Hiliran Gumanti (2025),Enterprising,Verbal,77.18,Influence,Guru / Pendidik Sekolah
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2023),Conventional,Verbal,94.16,Compliance,Analis Data (Data Analyst)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2024),Artistic,Spasial/Visual,88.75,Dominance,Kreator Konten (Content Creator)
Data Alumni TKJ SMKN 1 Hiliran Gumanti (2025),Realistic,Motorik/Praktikal,74.45,Compliance,Teknisi Otomotif / Mekanik
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2023),Conventional,Motorik/Praktikal,77.68,Dominance,Teknisi Jaringan & IT Support
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2024),Conventional,Numerik/Logika,88.01,Compliance,Administrator Sistem (Sysadmin)
Data Alumni DPIB SMKN 1 Hiliran Gumanti (2025),Artistic,Spasial/Visual,81.45,Dominance,Drafter (Juru Gambar Bangunan)
