sumber,minat,bakat,nilai_akademik,kepribadian,label_karir
Data Alumni TKJ 2025,Realistic,Spasial/Visual,85.50,Compliance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Realistic,Motorik/Praktikal,78.00,Dominance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Investigative,Numerik/Logika,92.00,Compliance,Analis/Peneliti
Data Alumni TKJ 2025,Investigative,Numerik/Logika,88.50,Steadiness,Analis/Peneliti
Data Alumni DPIB 2025,Artistic,Spasial/Visual,86.00,Influence,Desainer Kreatif
Data Alumni DPIB 2025,Artistic,Spasial/Visual,82.50,Dominance,Desainer Kreatif
Data Alumni K3R 2025,Realistic,Motorik/Praktikal,79.00,Steadiness,Agribisnis/Pertanian
Data Alumni K3R 2025,Artistic,Spasial/Visual,84.00,Influence,Desainer Kreatif
Data Alumni TKJ 2025,Enterprising,Verbal,81.00,Influence,Wirausaha/Marketing
Data Alumni TKJ 2025,Enterprising,Numerik/Logika,87.00,Dominance,Wirausaha/Marketing
Data Alumni DPIB 2025,Conventional,Numerik/Logika,89.50,Compliance,Administrasi & Akuntansi
Data Alumni DPIB 2025,Conventional,Numerik/Logika,83.00,Compliance,Administrasi & Akuntansi
Data Alumni K3R 2025,Social,Verbal,85.00,Steadiness,Pendidik/Guru
Data Alumni K3R 2025,Social,Verbal,80.00,Influence,Tenaga Kesehatan & Konseling
Data Alumni TKJ 2025,Realistic,Spasial/Visual,76.50,Compliance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Investigative,Numerik/Logika,90.00,Compliance,Analis/Peneliti
Data Alumni DPIB 2025,Artistic,Spasial/Visual,88.00,Influence,Desainer Kreatif
Data Alumni K3R 2025,Realistic,Motorik/Praktikal,75.00,Dominance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Enterprising,Verbal,83.50,Dominance,Wirausaha/Marketing
Data Alumni DPIB 2025,Conventional,Numerik/Logika,86.00,Compliance,Administrasi & Akuntansi
Data Alumni K3R 2025,Social,Verbal,82.00,Steadiness,Pendidik/Guru
Data Alumni K3R 2025,Realistic,Motorik/Praktikal,77.50,Steadiness,Agribisnis/Pertanian
Data Alumni TKJ 2025,Realistic,Motorik/Praktikal,84.00,Dominance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Investigative,Numerik/Logika,89.00,Compliance,Analis/Peneliti
Data Alumni DPIB 2025,Artistic,Spasial/Visual,91.00,Influence,Desainer Kreatif
Data Alumni K3R 2025,Artistic,Spasial/Visual,80.50,Influence,Desainer Kreatif
Data Alumni TKJ 2025,Enterprising,Verbal,79.00,Influence,Wirausaha/Marketing
Data Alumni DPIB 2025,Conventional,Numerik/Logika,88.00,Compliance,Administrasi & Akuntansi
Data Alumni K3R 2025,Social,Verbal,86.50,Steadiness,Pendidik/Guru
Data Alumni K3R 2025,Social,Verbal,78.50,Steadiness,Tenaga Kesehatan & Konseling
Data Alumni TKJ 2025,Realistic,Spasial/Visual,82.00,Compliance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Investigative,Numerik/Logika,93.00,Compliance,Analis/Peneliti
Data Alumni DPIB 2025,Artistic,Spasial/Visual,85.00,Influence,Desainer Kreatif
Data Alumni K3R 2025,Realistic,Motorik/Praktikal,73.00,Dominance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Enterprising,Verbal,85.00,Dominance,Wirausaha/Marketing
Data Alumni DPIB 2025,Conventional,Numerik/Logika,87.50,Compliance,Administrasi & Akuntansi
Data Alumni K3R 2025,Social,Verbal,84.00,Steadiness,Pendidik/Guru
Data Alumni K3R 2025,Realistic,Motorik/Praktikal,76.00,Steadiness,Agribisnis/Pertanian
Data Alumni TKJ 2025,Realistic,Motorik/Praktikal,80.00,Dominance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Investigative,Numerik/Logika,87.00,Compliance,Analis/Peneliti
Data Alumni DPIB 2025,Artistic,Spasial/Visual,89.50,Influence,Desainer Kreatif
Data Alumni K3R 2025,Artistic,Spasial/Visual,83.00,Influence,Desainer Kreatif
Data Alumni TKJ 2025,Enterprising,Verbal,82.00,Influence,Wirausaha/Marketing
Data Alumni DPIB 2025,Conventional,Numerik/Logika,85.50,Compliance,Administrasi & Akuntansi
Data Alumni K3R 2025,Social,Verbal,88.00,Steadiness,Pendidik/Guru
Data Alumni K3R 2025,Social,Verbal,81.00,Steadiness,Tenaga Kesehatan & Konseling
Data Alumni TKJ 2025,Realistic,Spasial/Visual,87.00,Compliance,Teknisi/Operator Teknik
Data Alumni TKJ 2025,Investigative,Numerik/Logika,91.50,Compliance,Analis/Peneliti
Data Alumni DPIB 2025,Artistic,Spasial/Visual,84.50,Influence,Desainer Kreatif
Data Alumni K3R 2025,Realistic,Motorik/Praktikal,79.50,Dominance,Agribisnis/Pertanian
